MonthYear,TransportPricePercentageChange
Mar 18,0.5
Jun 18,-0.4
Sep 18,0.5
Dec 18,0.9
Mar 19,1.3
Jun 19,-0.4
Sep 19,0.4
Dec 19,1.3
Mar 20,1.9
Jun 20,0.5
Sep 20,-0.4
Dec 20,0.2
Mar 21,0.4
Jun 21,0.5
Sep 21,0.3
Dec 21,0.7
Mar 22,2.8
Jun 22,2.0
